Time (s),x,y,z
7596.097,0.157128048,-0.32675736,0.407978385
7608.511,0.157242008,-0.3266656,0.406908497
7620.925,0.157355968,-0.32659678,0.405922194
7633.214,0.15737876,-0.32661972,0.405955628
7645.636,0.157287592,-0.3266656,0.406574157
7658.05,0.157355968,-0.3263215,0.403448078
7670.464,0.157287592,-0.32648208,0.404434381
7682.886,0.15737876,-0.32641326,0.403631965
7695.3,0.15749272,-0.32652796,0.403799135
7707.714,0.157538304,-0.32639032,0.402612228
7720.128,0.157629472,-0.32648208,0.402963285
7732.55,0.157561096,-0.32648208,0.402946568
7744.964,0.15737876,-0.32648208,0.403799135
7757.378,0.157515512,-0.32636738,0.401843246
7769.792,0.157675056,-0.32625268,0.399887357
7782.206,0.157652264,-0.32618386,0.399435998
7794.628,0.157561096,-0.3262068,0.399820489
7807.042,0.157333176,-0.3263215,0.401843246
7819.456,0.157401552,-0.3263215,0.401993699
7831.87,0.157196424,-0.32639032,0.402729247
7844.285,0.15715084,-0.32645914,0.404317362
7856.581,0.157310384,-0.32627562,0.402177586
7868.995,0.15772064,-0.32602328,0.397747581
7881.41,0.157766224,-0.32590858,0.395724824
7893.824,0.15772064,-0.32613798,0.39753026
7906.238,0.157629472,-0.32611504,0.39819894
7918.66,0.157561096,-0.3262068,0.399018073
7931.081,0.157811808,-0.3258627,0.395474069
7943.8,0.157994144,-0.32579388,0.393066821
7956.16,0.158313232,-0.325748,0.391712744
7968.62,0.158222064,-0.32581682,0.391829763
7980.995,0.158108104,-0.32561036,0.390776592
7993.41,0.158085312,-0.32583976,0.392949802
8005.824,0.158108104,-0.32588564,0.393417878
8018.238,0.158130896,-0.32579388,0.392364707
8030.527,0.158153688,-0.32588564,0.393217274
8042.941,0.158039728,-0.32600034,0.394805389
8055.23,0.158039728,-0.32600034,0.395123012
8067.652,0.157925768,-0.32616092,0.396978599
8080.066,0.158016936,-0.32606916,0.396126032
8092.48,0.157994144,-0.32625268,0.397914751
8104.894,0.158085312,-0.32613798,0.397112335
8117.308,0.158381608,-0.32604622,0.394571351
8129.597,0.158130896,-0.32616092,0.395975579
8142.019,0.158267648,-0.32613798,0.395791692
8154.433,0.158563944,-0.32590858,0.392732481
8166.847,0.158427192,-0.32606916,0.393768935
8179.261,0.158449984,-0.32581682,0.391946782
8191.675,0.158358816,-0.32588564,0.392381424
8203.964,0.158449984,-0.32583976,0.391930065
8216.253,0.158244856,-0.32583976,0.392431575
8228.675,0.15817648,-0.3259774,0.393601765
8241.089,0.158222064,-0.3258627,0.393050104
8253.503,0.158427192,-0.32570212,0.390492403
8265.917,0.15863232,-0.32558742,0.388118589
8278.331,0.158495568,-0.32565624,0.388987873
8290.644,0.158336024,-0.32565624,0.389740138
8303.058,0.158472776,-0.32554154,0.388269042
8315.48,0.158267648,-0.3256333,0.390258365
8327.894,0.158336024,-0.325748,0.390626139
8340.308,0.15806252,-0.3259774,0.394103275
8352.722,0.157811808,-0.32588564,0.394537917
8365.136,0.157811808,-0.3258627,0.394537917
8377.55,0.157925768,-0.32590858,0.394571351
8389.949,0.158085312,-0.32567918,0.39184648
8402.363,0.158267648,-0.32554154,0.389522817
8414.777,0.158267648,-0.3256333,0.389589685
8427.066,0.158222064,-0.32583976,0.392297839
8439.355,0.158449984,-0.32570212,0.390074478
8451.644,0.158541152,-0.32565624,0.389322213
8463.933,0.158449984,-0.32577094,0.390475686
8476.347,0.158358816,-0.3258627,0.391779612
8488.636,0.1584044,-0.32604622,0.393384444
8500.925,0.158199272,-0.32616092,0.395774975
8513.339,0.158267648,-0.3259774,0.393735501
8525.628,0.158108104,-0.32593152,0.393936105
8537.917,0.157857392,-0.32613798,0.396543957
8550.331,0.157880184,-0.32613798,0.396711127
8562.745,0.15772064,-0.3260921,0.396995316
8575.167,0.15794856,-0.32579388,0.393768935
8587.581,0.158153688,-0.325748,0.39184648
8599.995,0.158313232,-0.32556448,0.389038024
8612.285,0.158336024,-0.32558742,0.38867025
8624.566,0.158153688,-0.32570212,0.390241648
8636.863,0.15806252,-0.32581682,0.39218082
8649.277,0.158016936,-0.32588564,0.393317576
8661.691,0.1578346,-0.32602328,0.395423918
8674.105,0.157925768,-0.32625268,0.397597128
8686.394,0.157789016,-0.32652796,0.401024113
8698.683,0.157697848,-0.32650502,0.402027133
8711.097,0.158039728,-0.3262068,0.397630562
8723.386,0.158039728,-0.32618386,0.397162486
8735.675,0.15817648,-0.32618386,0.396326636
8747.956,0.158108104,-0.3262068,0.396677693
8760.253,0.157994144,-0.32613798,0.396460372
8772.667,0.157994144,-0.32604622,0.395875277
8784.956,0.158108104,-0.32588564,0.393735501
8797.378,0.158108104,-0.32588564,0.3928495
8809.792,0.158358816,-0.3256333,0.389773572
8822.206,0.158358816,-0.32561036,0.388386061
8834.62,0.158449984,-0.32565624,0.388803986
8847.035,0.1584044,-0.32567918,0.389389081
8859.324,0.158244856,-0.3256333,0.389723421
8871.613,0.158244856,-0.32556448,0.388921005
8883.917,0.1584044,-0.32549566,0.387717381
8896.316,0.158381608,-0.3254039,0.386463606
8908.73,0.158495568,-0.32542684,0.386380021
8921.152,0.15908816,-0.32526626,0.382535111
8933.566,0.159156536,-0.32519744,0.38081326
8945.98,0.158996992,-0.32524332,0.381732695
8958.394,0.158609528,-0.32561036,0.386680927
8970.683,0.1584044,-0.32588564,0.390693007
8982.972,0.1584044,-0.32572506,0.390124629
8995.386,0.158586736,-0.32549566,0.386981833
9007.8,0.158769072,-0.32531214,0.384273679
9020.089,0.158655112,-0.32533508,0.384039641
9032.503,0.158655112,-0.32533508,0.384190094
9044.792,0.15863232,-0.32531214,0.384223528
9057.081,0.158427192,-0.32544978,0.385962096
9069.37,0.158267648,-0.32565624,0.388152023
9081.785,0.15817648,-0.325748,0.390091195
9094.074,0.157925768,-0.32572506,0.390693007
9106.355,0.158016936,-0.32565624,0.390609422
9118.644,0.158153688,-0.32558742,0.389255345
9130.933,0.15806252,-0.32549566,0.38833591
9143.222,0.15829044,-0.32544978,0.387299456
9155.511,0.158153688,-0.32567918,0.389740138
9167.8,0.157971352,-0.32572506,0.391227951
9180.081,0.157994144,-0.32565624,0.390709724
9192.37,0.158267648,-0.3255186,0.388252325
9204.66,0.15829044,-0.3255186,0.387600362
9216.949,0.158449984,-0.32547272,0.386731078
9229.238,0.158336024,-0.32558742,0.387734098
9241.527,0.158381608,-0.32554154,0.387750815
9253.816,0.158449984,-0.32554154,0.387383041
9266.105,0.158336024,-0.3256333,0.388452929
9278.433,0.158153688,-0.32565624,0.38984044
9290.808,0.158495568,-0.32533508,0.385577605
9303.089,0.158586736,-0.3252892,0.384256962
9315.378,0.158541152,-0.32533508,0.384541151
9327.667,0.158472776,-0.32544978,0.385443869
9339.956,0.158586736,-0.3251745,0.383270659
9352.245,0.158677904,-0.3250598,0.38081326
9364.535,0.158700696,-0.32499098,0.379893825
9376.824,0.158769072,-0.32510568,0.380662807
9389.113,0.158791864,-0.32531214,0.382351224
9401.402,0.158655112,-0.32522038,0.382785866
9413.683,0.158655112,-0.32542684,0.385343567
9425.972,0.158677904,-0.32547272,0.385477303
9438.261,0.158541152,-0.32554154,0.386731078
9450.55,0.158769072,-0.32535802,0.384674887
9462.839,0.158769072,-0.32547272,0.384741755
9475.128,0.158700696,-0.3255186,0.385962096
9487.417,0.158883032,-0.32547272,0.385276699
9499.699,0.158586736,-0.32554154,0.386463606
9511.988,0.158769072,-0.32531214,0.384440849
9524.277,0.158769072,-0.32522038,0.382568545
9536.566,0.158905824,-0.3251745,0.381916582
9548.855,0.158814656,-0.32512862,0.381080732
9561.144,0.15908816,-0.32480746,0.377369558
9573.433,0.159042576,-0.32489922,0.377670464
9585.722,0.158837448,-0.3251745,0.381080732
9598.003,0.158905824,-0.3251745,0.381231185
9610.292,0.159065368,-0.32526626,0.381231185
9622.585,0.159110952,-0.32531214,0.381632393
9634.871,0.158769072,-0.32547272,0.384474283
9647.16,0.158769072,-0.32544978,0.38482534
9659.447,0.158814656,-0.3252892,0.383019904
9671.735,0.158769072,-0.32524332,0.382301073
9684.024,0.158700696,-0.32531214,0.383588282
9696.312,0.15863232,-0.32538096,0.38432383
9708.6,0.158495568,-0.32542684,0.385744775
9720.887,0.158427192,-0.32544978,0.386513757
9733.176,0.158563944,-0.32538096,0.38566119
9745.463,0.158495568,-0.32549566,0.386680927
9757.751,0.158449984,-0.32556448,0.387466626
9770.039,0.158336024,-0.32561036,0.388486363
9782.456,0.158609528,-0.3254039,0.385460586
9794.874,0.158609528,-0.32547272,0.385510737
9807.288,0.1584044,-0.32554154,0.387383041
9819.707,0.15851836,-0.32554154,0.387232588
9832.12,0.158495568,-0.3255186,0.387349607
9844.537,0.158563944,-0.32512862,0.383220508
9856.954,0.15863232,-0.32519744,0.383270659
9869.371,0.158495568,-0.32510568,0.382535111
9881.786,0.158677904,-0.3249451,0.380295033
9894.199,0.15874628,-0.32501392,0.380512354
9906.488,0.158769072,-0.32485334,0.378489597
9918.773,0.158905824,-0.32473864,0.376734312
9931.063,0.158700696,-0.32496804,0.379375598
9943.35,0.158586736,-0.32512862,0.382334507
9955.634,0.158655112,-0.32503686,0.381197751
9967.921,0.158769072,-0.32503686,0.38014458
9980.21,0.15874628,-0.32499098,0.380361901
9992.498,0.158723488,-0.32508274,0.381013864
10004.785,0.158837448,-0.32480746,0.378355861
10017.074,0.158814656,-0.32478452,0.377603596
10029.362,0.159179328,-0.32453218,0.373758686
10041.65,0.159042576,-0.3248304,0.375865028
10053.938,0.158996992,-0.3248304,0.37663401
10066.225,0.158996992,-0.32462394,0.374778423
10078.513,0.159293288,-0.32446336,0.371669061
10090.806,0.159270496,-0.32446336,0.371184268
10103.09,0.159019784,-0.32439454,0.371418306
10115.38,0.158814656,-0.3243716,0.37212042
10127.667,0.158791864,-0.32439454,0.372421326
